традиционен	traditional
ханау	hanau
салон	lounge
салон	saloon
салон	salon
висконти	visconti
слаба	weak
слаба	thin
опасни	dangerous
опасни	hazardous
мюсюлмански	muslim
ове	ove
демонстрира	demonstrates
демонстрира	demonstrating
демонстрира	demonstrated
вероятност	likelihood
вероятност	probability
харолд	harold
димитровград	dimitrovgrad
механизми	mechanisms
балтийско	baltic
оперативна	operational
господство	domination
дани	danny
дани	dani
уреди	appliances
съюзник	ally
вожд	chieftain
намерение	intention
намерение	intent
кейт	kate
сложи	put
гражданско	civil
гражданско	civic
спарта	sparta
концентрация	concentration
концентрация	focus
падеж	maturity
здравейте	hi
здравейте	hello
лодки	boats
вярвания	beliefs
сливане	merger
сливане	merge
католическа	catholic
андон	andon
фабриката	factory
ада	hell
ада	ada
критикува	criticized
критикува	criticises
критикува	criticised
поставяне	placement
поставяне	paste
лотар	lothar
борец	fighter
борец	wrestler
липе	lipe
напомня	reminiscent
напомня	reminds
егейско	aegean
опозицията	opposition
айова	iowa
минесота	minnesota
сухи	dry
пленени	captured
изобразява	depicts
заявки	requests
заявки	nominations
валдек	waldeck
наследството	inheritance
финанси	finance
финанси	finances
отлично	excellent
проведена	conducted
ядрена	nuclear
йънг	young
чужд	foreign
маями	miami
йон	ion
йон	yoon
йон	yeon
съединението	unity
съединението	compound
лекарства	medicine
лекарства	drugs
лекарства	medicines
венето	veneto
правилото	rule
туберкулоза	tb
туберкулоза	tuberculosis
петрович	petrovic
петрович	petrovich
валоа	valois
подводници	submarines
подводници	subs
будизма	buddhism
компонент	component
тесен	narrow
делта	delta
лятно	summer
лятно	summertime
покрив	rooftop
покрив	roof
радомир	radomir
предизвика	challenged
диоксид	dioxide
остин	austen
остин	austin
постигнат	achieved
озаглавен	titled
озаглавен	entitled
промишлени	industrial
езерата	lakes
конструкции	constructions
конструкции	structures
холивуд	hollywood
туристическа	tourist
бахрейн	bahrain
айлънд	island
стабилен	steady
стабилен	stable
лоренцо	lorenzo
изкуствени	artificial
регионална	regional
социология	sociology
рамка	framework
рамка	frame
лимбург	limburg
котел	furnace
котел	boiler
котел	cauldron
волга	volga
дизайнер	designer
услуга	favor
услуга	service
убеждава	convinces
жълти	yellow
преследва	haunting
севиля	sevilla
севиля	seville
пианист	pianist
боеприпаси	ammunition
боеприпаси	ammo
боеприпаси	munitions
артилерията	artillery
правна	legal
вълната	wave
религиозно	religiously
религиозно	religious
сиена	sienna
сиена	siena
сорт	strain
сорт	variety
щети	damage
щети	damages
уисконсин	wisconsin
равно	equal
равно	equals
кастилия	castile
олег	oleg
точност	punctuality
точност	precision
точност	accuracy
демир	demir
мюлер	müller
мюлер	mueller
мюлер	muller
умерен	temperate
умерен	moderate
предотврати	prevented
предотврати	prevent
ограничено	limited
ограничено	restricted
свещеници	priests
атомна	nuclear
атомна	atomic
внезапно	suddenly
внезапно	sudden
включи	plug
читателите	readers
елен	deer
елен	ellen
елен	helene
разделение	division
разделение	divide
разделение	separation
разделение	divisions
арабите	arabs
обясни	explain
олимпик	olympic
изтича	expiring
изтича	expires
четвърт	quarter
полукълбо	hemisphere
волфенбютел	wolfenbüttel
влизане	entry
влизане	login
кен	ken
заявка	request
заявка	requisition
комплекси	complexes
ванка	ivan
моите	mine
спомените	memories
публикация	post
публикация	publication
електроника	electronics
освободени	released
предишни	previous
твърда	firm
твърда	solid
твърда	rigid
уравнения	equations
кентъки	kentucky
батенберг	battenberg
вернер	werner
