انداخته	dropped
عامیانه	slang
نجوم	astronomy
چندگانه	multiple
کریمه	crimea
کریمه	crimean
انها	charging
نصرالله	nasrallah
آرشیو	archives
آرشیو	archive
ممنوعیت	embargo
ممنوعیت	prohibition
علف	hay
علف	grass
علف	weed
ناصری	nazarene
ناپل	naples
بازگشتی	recursively
بازگشتی	recursive
فرناندو	fernando
لشکرکشی	campaign
ترقی	advancement
کاوش	exploring
کاوش	explore
زایمان	delivery
زایمان	childbirth
زایمان	labor
بازده	efficiency
بازده	yield
چاد	chad
اشک	tear
اشک	tears
پیک	spades
شیء	object
تان	tan
تان	tân
یخچال	fridge
یخچال	refrigerator
یخچال	freezer
خشمگین	furious
خشمگین	angry
حسی	sensory
براین	bryan
براین	brian
لوکس	lux
لوکس	luxurious
مواضع	positions
موجودی	creature
موجودی	stock
سوادکوه	iran
اوساکا	osaka
سرانه	intractable
دانمارکی	danish
شاد	rejoice
شاد	shad
شاد	happy
بنایی	masonry
رستوران	restaurant
امیری	amiri
لرزش	tremor
لرزش	vibration
لرزش	flickering
لرزش	shake
مانوئل	manuel
ویمبلدون	wimbledon
سواد	uneducated
سواد	literacy
تنه	torso
تنه	trunk
مداری	orbital
مبهم	ambiguous
مبهم	obscure
مبهم	vague
مبهم	fuzzy
عینی	objective
عینی	eyewitness
نگرش	attitude
دیپلماتیک	diplomatic
گردو	walnuts
گردو	walnut
رزم	battle
رزم	tactic
قوام	minded
اقلید	eqlid
روشنی	roshni
روشنی	brightness
ابهر	abhar
یادآور	reminder
سعادت	bliss
مارگارت	margaret
بهایی	price
کشش	stretch
کشش	tension
نبی	nabi
نگارخانه	gallery
اعتقادات	beliefs
بنفش	purple
بنفش	violet
دریانوردی	maritime
دریانوردی	sailing
اراده	decides
فیشر	fisher
فیشر	fischer
متیو	matthew
پخته	cooked
پخته	baked
اساساً	basically
متخصصان	experts
متخصصان	technicians
الهه	goddess
الهه	muse
شخصاً	personally
حفره	alveolar
حفره	hole
دوچرخه	bicycles
دوچرخه	bike
دوچرخه	bicycle
ایرانیکا	iranica
مادها	heraclius
یگانه	one
استر	ester
استر	esther
مظفر	muzaffar
شل	shell
شل	loose
فیروزه	turquoise
هفده	seventeen
یوری	yuri
ریشتر	richter
ملبورن	melbourne
بوم	boom
بوم	bum
چو	chu
چو	cho
نساجی	weaving
فیلیپس	philips
فیلیپس	phillips
هنرستان	conservatory
ورق	cards
ورق	card
ورق	deck
درشت	large
درشت	macro
درشت	coarse
برتون	burton
برتون	bratton
برتون	breton
زنبور	bee
آریایی	aryan
کاسه	bowl
کاسه	bowls
استحکام	strength
دایی	uncle
پیاز	onions
پیاز	onion
کمیت	quantity
رام	subjected
رام	ram
رام	rom
رام	tame
دود	smoke
مشرف	musharraf
کبود	blue
کبود	kabud
کبود	bruise
ویدیو	video
ویدیو	videos
تخصیص	allocation
دیجیتالی	digital
تصاحب	takeover
رودی	rudy
دمکراتیک	democratic
بلا	bela
بلا	bella
چالوس	chalus
اعتصاب	strike
آبشاری	cascade
آبشاری	cascading
تداخل	interference
انتها	timeless
هرسین	harsin
دفاتر	offices
دفاتر	ledgers
طولی	portrait
طولی	longitudinal
جفری	jeffery
شین	shane
مشورت	counsel
مشورت	consulting
مشورت	consulted
مشورت	consultation
مشورت	consult
یی	yi
یی	yee
نورمن	norman
عادل	adel
عادل	adil
لنگرود	langarud
بیدار	awake
گلپایگان	golpayegan
بیمارستانی	hospital
نادری	naderi
نادری	rare
گراهام	graham
تهاجمی	aggressive
تهاجمی	offensive
جلیل	jalil
جهنم	hell
لنگه	lengeh
شرطی	conditional
خوشحال	happy
فوران	erupt
فوران	eruption
رامسر	ramsar
ازنا	azna
علما	rabbis
سفرنامه	itinerary
سرشار	full
دانستن	knowing
دانستن	dunstan
فیض	faiz
تطابق	matching
تطابق	match
الیوت	elliot
پرستش	worship
توباگو	tobago
پارلمانی	parliamentary
طاهری	taheri
سنجی	sanjay
حسنی	hosni
حسنی	hassani
دلتا	delta
پروازهای	flights
روبروی	facing
مسطح	flat
مسطح	planar
مملکت	country
ملاحظه	considerate
مامور	agent
لامرد	lamerd
تلگراف	telegraph
مختص	exclusively
تکذیب	deny
بدر	badr
اعلان	announcement
اعلان	prompt
اعلان	announcing
اعلان	notification
اعلان	notifications
اعلان	declaration
دویچه	deutsche
رآکتور	reactor
تماشاگر	spectator
بوداپست	budapest
تاجر	merchant
غیررسمی	informal
غیررسمی	unofficial
غیررسمی	unofficially
تیز	sharp
رومن	roman
آبهای	waters
جویی	joey
روبرت	robert
شرعی	canonical
ویژگیهای	features
ویژگیهای	properties
فریم	frames
فریم	frame
بده	give
الکلی	alcoholics
الکلی	alcoholic
خفاش	bat
بازمانده	survivor
اعتراضی	objection
اعتراضی	protest
سازمانهای	organizations
گوتیک	gothic
اجاره	renting
اجاره	rent
اجاره	lease
برمن	bremen
برمن	berman
شفاهی	oral
شفاهی	verbal
کارول	carol
پریش	parish
ژورنال	journal
نلسون	nelson
لئوناردو	leonardo
گئورگ	george
گئورگ	georg
بعید	farfetched
بعید	unlikely
پلان	plan
اتهامات	charges
اتهامات	accusations
ایلات	eilat
اسماعیلی	esmaili
فرخ	farrokh
آلبرتو	alberto
برپایی	setup
سیرجان	sirjan
فرآیند	process
چنار	chenar
موشکی	missile
پولیتزر	pulitzer
میگ	mig
لک	lak
شدیداً	massively
مینی	mini
مینی	minnie
زره	armor
زره	coats
زره	armour
روحانیت	spirituality
روحانیت	clergy
مدارهای	circuits
مدارهای	orbits
نجیب	noble
نجیب	najib
نجیب	decent
موسس	founder
برکه	pond
بوک	buk
بوک	bok
راکت	rocket
خواهرش	sister
الکترومغناطیسی	electromagnetic
تناسب	proportions
تناسب	proportion
تناسب	fit
تورینگ	turing
سایپا	saipa
ملوان	sailors
ملوان	sailor
فولکلور	folklore
سودمند	beneficial
تعجب	wonder
دیواری	wall
رومئو	romeo
مکزیکی	mexicans
مکزیکی	mexican
دستمزد	wages
دستمزد	fee
دستمزد	payment
تایباد	taybad
قاچاق	smuggling
قاچاق	trafficking
قاچاق	smuggle
پرفروش	bestselling
ریش	clutch
ریش	beard
مسیه	messier
کارلو	carlo
دیک	dick
تکلیف	task
تکلیف	homework
نهبندان	nehbandan
گزینش	selection
شهرضا	shahreza
باش	be
ژول	jules
صوفیان	sufian
حماسه	saga
حماسه	epic
همیشگی	permanent
همیشگی	usual
فلج	paralysis
فلج	paralyzed
ورمانت	vermont
مینا	mina
مینا	meena
جعلی	fake
عضله	biceps
عضله	muscle
خشت	adobe
خشت	diamonds
کشمیر	kashmir
بت	beth
پنجه	claw
پنجه	claws
پنجه	paw
افتادن	fall
کالای	wares
پاراگراف	paragraph
اردک	ducks
اردک	duck
پنیر	cheese
دزدی	robbery
دزدی	theft
دزدی	stealing
داوطلب	volunteers
داوطلب	volunteering
داوطلب	volunteer
خبرنگاران	journalists
خبرنگاران	reporters
کروی	spherical
کلاغ	crow
کلاغ	raven
شرکتهای	companies
تسهیل	facilitating
تسهیل	facilitated
انستیتو	institute
ترمیم	restoration
زیرساخت	infrastructure
برکناری	dismissal
صرفا	merely
شتر	camel
صور	trumpet
صور	horn
نیکل	nickel
نیکل	nicole
مرو	moro
اختیاری	optional
اختیاری	voluntary
گسسته	discrete
غیبت	awol
غیبت	absence
دنا	dana
زیمبابوه	zimbabwe
زیمبابوه	zimbabwean
فرستادن	sending
رن	rennes
رن	ren
تحمیل	impose
تحمیل	imposed
عفو	amnesty
عفو	pardoned
عفو	pardons
عفو	pardon
دستاوردهای	achievements
دستاوردهای	achievement
پلاستیک	plastic
راور	ravar
آرد	flour
کیهانی	cosmic
فاتح	conqueror
فاتح	fateh
فاتح	fatih
نوح	nuh
نوح	noah
کرال	corral
مموریال	memorial
آلات	instruments
ضربات	strokes
وقف	dedicated
صوفی	mystic
صوفی	sufi
ارزان	cheap
پنبه	cotton
جادوگر	wizard
جادوگر	witch
جلالی	jalali
سونگ	sung
رامهرمز	ramhormoz
ادوار	édouard
لستر	leicester
ور	var
ور	ware
لنگ	lang
لنگ	lame
جادو	magic
سنگینی	heavy
شرف	honor
شرف	sharaf
دکمه	buttons
دکمه	button
کام	kam
کام	seduce
مهرماه	mihrimah
کریستی	christy
سفری	journey
ناراحت	upset
کت	coat
کت	kat
بوتسوانا	botswana
سیکل	cycle
غبار	dust
کرت	kurt
کرت	kart
تیغه	blade
علاءالدین	aladdin
سون	sun
سون	sven
بازرگانان	merchants
بازرگانان	suppliers
انعکاس	reflection
انعکاس	mirror
مقصود	purpose
مهدوی	mahdavi
وفادار	loyal
وفادار	faithful
وفادار	loyalty
چشمان	eyes
فریب	deceit
فریب	delusion
فریب	deception
فریب	deceived
سیاتل	seattle
گوارش	digestion
مناظر	scenery
مناظر	sights
مناظر	landscapes
منصوری	mansouri
گز	gaz
کامیاران	kamyaran
وله	welle
ناتو	nato
ترش	thrash
ترش	sour
اتو	ironing
اتو	otto
بافی	buffy
محصور	confined
توپخانه	artillery
میهن	homeland
دارن	darren
فولادی	steel
کاش	wish
تگ	tag
تخلف	violation
پیرانشهر	piranshahr
بیابانی	desert
کمونیستی	communist
لیدز	leeds
معلق	suspension
معلق	suspend
معلق	suspended
تجدیدپذیر	renewable
آمونیوم	ammonium
هجرت	migrate
هجرت	emigrated
صریح	explicitly
صریح	explicit
مقدمات	preparations
لورن	lauren
سیف	saif
سیف	sif
مشکین	musk
مبحث	topic
تمایلات	tendencies
ذهاب	zahab
تطبیقی	comparative
ذاتی	inherent
ذاتی	intrinsic
ذاتی	innate
کیوان	keyvan
نمایشگر	viewer
نمایشگر	monitor
عوام	commons
غم	grief
غم	sadness
غم	anguish
غم	sorrow
غم	sad
لائوس	lao
لائوس	laos
پرنس	prince
فصول	seasons
آقایان	gentlemen
چال	chal
ملکان	malekan
محرمانه	secret
محرمانه	confidential
لان	lan
لان	lon
آنکارا	ankara
رولینگ	rolling
رولینگ	rowling
گمینا	gmina
حیوانی	animal
ایدئولوژی	ideology
پین	pin
نمره	grade
نمره	grades
نمره	score
نمره	scores
ماجراجویی	adventure
امثال	proverbs
بسازید	pyre
بسازید	build
اسقف	bishop
بنفشه	violet
بنفشه	viola
بنفشه	violets
احضار	summoning
احضار	summons
احضار	summoned
احضار	summon
احضار	séance
مصور	comic
قیمتی	priceless
قیمتی	price
گوگرد	sulfur
باشی	be
باشی	bashi
یاخته	cell
لزوماً	necessarily
واردات	import
مشاهدات	glimpses
مشاهدات	observations
ویدیویی	video
جرایم	crimes
جرایم	crime
دانا	dana
ژوراسیک	jurassic
کلینتون	clinton
فرستنده	transmitter
فرستنده	issuer
فرستنده	sender
فرستنده	senders
بناب	bonab
وود	wood
کاسته	lightened
کاسته	diminished
عبدالرحمن	abdulrahman
فرسایش	erosion
انتزاعی	abstract
متمم	amendment
متمم	complement
متمم	complementary
هارت	hart
نسخ	abrogate
اوبلاست	oblast
حلال	lawful
گارسیا	garcia
گارسیا	garcía
جولیا	julia
فرگشت	evolution
ترمودینامیک	thermodynamics
ترمودینامیک	thermodynamic
هما	homa
دوبار	twice
رکود	depression
زئوس	zeus
نانسی	nancy
گرینلند	greenland
صدف	clam
صدف	oyster
صدف	shells
افشین	afshin
رندی	randy
کو	co
کو	ko
کو	koo
روبرتو	roberto
مالاوی	malawi
ژرمن	germain
کلاید	clyde
برهنه	naked
برهنه	nude
برهنه	bare
برهنه	stocking
لوکاس	lucas
لوکاس	lukas
کوت	kut
کوت	cot
خاطره	memories
خاطره	memory
داوید	daredevils
داوید	david
وجودی	existential
نوزادان	infants
نوزادان	babies
یوزف	joseph
ناهید	nahid
تورات	torah
مولد	generator
امامت	imams
امامت	imamate
تجسمی	visualization
پنالتی	penalty
یکنواخت	steady
تاسمانی	tasmanian
تاسمانی	tasmania
رحمت	mercy
رحمت	caste
رحمت	rahmat
فاطمی	fatemi
ضمیمه	enclosed
درجات	ranks
مجرای	canal
مجرای	channel
اورتون	everton
سولفات	sulfate
ارس	juniperus
ارس	aras
نامنظم	irregular
قوت	strength
مجالس	pass
اخوان	akhavan
ابری	clouds
ابری	cloud
ابری	cloudy
ابری	clouded
نطنز	natanz
تایم	time
سومی	third
کوپر	cooper
جانداران	fauna
جولی	julie
ساختگی	dummy
شارلوت	charlotte
اتوماتیک	automatic
لوید	lloyd
گاندی	gandhi
ثانی	sani
ثانی	thani
گریه	cry
گریه	crying
ذات	magnificence
واگن	wagon
لئونارد	leonard
راد	rad
راد	rod
هفتگی	weekly
مستمر	continual
مستمر	continuous
مستمر	occupations
مارسی	marseille
مارسی	marcy
مارسی	marci
مارسی	marseilles
درامز	drums
مرتکب	commit
مرتکب	perpetrated
مرتکب	committing
تدریجی	gradual
مستندات	documentation
نوشهر	nevşehir
رقابتی	competitive
بهمئی	bahmai
کسری	deficit
کسری	fractional
نخ	yarn
نخ	thread
میلیمتر	mm
میلیمتر	millimeter
میلیمتر	millimeters
شاعری	poet
مرادی	moradi
سیارات	planetary
سیارات	planets
مخالفم	disagree
روشنفکران	intellectuals
غلات	cereal
پاسکال	pascal
مقدونی	macedonian
مقدونی	macedon
ترغیب	persuasion
عطر	perfume
کاشف	kashif
هجده	eighteen
آندری	andrey
آندری	andrei
عنکبوت	spider
قیاس	monumental
قیاس	analogy
بازیافت	recycle
بازیافت	recycling
موس	moose
تکاب	takab
مؤسسات	institutions
کنگاور	kangavar
دیگو	diego
کریستینا	christina
کریستینا	cristina
آران	aran
تجربیات	experiences
ریاضیدان	mathematician
خونین	bloody
کافه	cafe
کافه	café
لیل	lil
لیل	lille
بنه	boneh
سعیدی	saidi
دستان	dastan
دستان	hands
فروشی	shop
دریک	drake
مراسمی	ceremony
مراسمی	ceremonies
نصرت	nusrat
گشتی	patrol
مرجان	coral
مرجان	marjane
مرجان	marjan
مرجان	marji
پلاسما	plasma
سقراط	socrates
بوتان	bhutan
تعمیم	generalized
تعمیم	generalization
باردار	pregnant
مالیاتی	tax
مالیاتی	taxes
تداوم	persistence
سینت	sint
آریا	aria
آریا	arya
گزیده	bitten
گزیده	selective
بره	arietis
بره	aries
دیوارها	walls
افراطی	extremist
افراطی	extreme
آژاکس	ajax
فرشتگان	angels
جیوه	mercury
جیوه	hg
فاضلاب	sewer
فاضلاب	sewage
فاضلاب	sewers
وادی	wadi
یوبی	ub
لیاقت	deserve
لیاقت	merit
جودی	judy
مند	mand
حفر	dig
حفر	digging
شعله	flame
شعله	flames
کوچولو	little
تلفیق	merger
تلفیق	mixing
فک	jaw
سیامک	siamak
زعفران	saffron
زعفران	crocus
تعاریف	definitions
دامن	skirt
دامن	skirts
گیلمور	gilmour
گیلمور	gilmore
مفصلی	arthritis
گیتاریست	guitarist
گوینده	talker
حرام	unlawful
حرام	forbidden
حرام	prohibited
اد	ed
محراب	altar
محراب	sanctuary
اقیانوسی	oceanic
اقیانوسی	ocean
وظیفهٔ	intuitively
گیتی	universe
گیتی	cosmos
رید	reid
رید	reed
عموی	uncle
جودو	judo
پژو	peugeot
رجایی	rajai
مسائلی	problems
بالاتری	higher
تامیل	tamil
نوسنگی	neolithic
کورت	curt
کورت	kurt
لاریجانی	larijani
خطبه	sermon
نزاع	dispute
نزاع	strife
نزاع	conflict
نزاع	quarrel
داروین	darwin
غواصی	diving
غواصی	dive
بلوط	chestnut
بلوط	acorns
بلوط	chestnuts
